question,expected_answer,model_output,note
离婚时夫妻共同债务如何处理？,应当共同偿还。共同财产不足清偿的，由双方协议清偿；协议不成的，由法院判决。,根据《民法典》相关规定，离婚时夫妻共同债务的处理规则如下： 1. **共同债务认定标准**（《民法典》第1064条）： - 夫妻双方共同签名或事后追认的债务； - 婚姻关系存续期间以个人名义为家庭日常生活需要所负的债务； - 超出家庭日常生活需要的债务，若债权人能证明用于夫妻共同生活、共同生产经营或基于共同意思表示的，亦属共同债务。 2. **偿还责任**（《民法典》第1089条）： - 离婚时共同债务原则上由双方共同偿还； - 若共同财产不足以清偿，或财产归各自所有，双方可协议清偿方式； - 协议不成时，由人民法院依法判决。 3. **协议离婚的特殊要求**（《民法典》第1078条）： - 离婚登记需双方对债务处理协商一致，否则婚姻登记机关不予登记。 **注意事项**： - 若债务性质存在争议（如是否超出家庭日常生活需要），需结合具体证据（如借款用途、资金流向等）判断； - 协议离婚时未明确债务处理的，可能影响离婚登记效力； - 法院判决时会综合考虑双方经济能力、债务用途等因素，确保公平性。 建议在处理共同债务时，尽量通过书面协议明确责任划分，并留存相关证据，必要时可寻求专业律师协助。,一致性: 否 差异说明: 标准答案仅提到了共同债务由双方偿还以及在共同财产不足清偿时的处理方式，而模型输出则详细列举了共同债务认定标准、偿还责任的具体规定，并且还包含了协议离婚时对债务处理的要求和注意事项。
物业擅自涨价是否合法？,不合法。物业费调整属于业主共同决定事项，需经业主大会讨论通过，未经同意的涨价行为无效。,根据您提供的法条内容，现有法律条款无法直接判断物业擅自涨价的合法性。以下是分析依据及建议： 1. **法条分析**： - 第三十五条（房地产成交价格申报制度）与第四十八条（出资财产评估）均未涉及物业管理服务收费问题。 - 第四百零四条（动产抵押规则）与物业收费无直接关联。 2. **法律依据缺失**： 物业收费合法性需依据《物业管理条例》及地方性物业管理规定。例如： - 《物业管理条例》第四十一条规定物业服务收费应遵循合理、公开原则，具体定价方式由省级人民政府规定。 - 物业服务合同中通常需明确收费标准，擅自涨价可能构成合同违约。 3. **建议**： - 需结合《物业管理条例》及当地物业管理规定进一步判断。 - 若物业未与业主协商一致擅自调整收费标准，可能违反合同约定或行政法规。 - 建议查阅当地物业管理细则，或咨询专业律师核实具体情形。 综上，现有法条不足以直接回答问题，需结合物业管理专项法规及合同条款综合判断。,一致性: 否 差异说明: 标准答案直接指出物业擅自涨价不合法，需经业主大会同意。而模型输出则强调现有法条不足以直接判断问题，并建议结合《物业管理条例》及地方性规定进一步分析，没有明确回答是否合法。
快递延误导致物品损坏能否索赔？,可以。快递企业因自身原因导致延误或损毁，应按约定或法律规定承担赔偿责任。,根据您提供的法条内容，快递延误导致物品损坏的索赔问题可结合以下法律条款分析： 1. **责任认定依据**（《法条》第五十条）： - 若承运人因过失导致货物迟延交付，并且该迟延直接导致物品损坏，则承运人需承担赔偿责任。 - 即使物品未灭失或损坏，但因迟延交付导致经济损失（如物品因延误无法使用而产生损失），承运人仍需赔偿。 2. **赔偿限额**（《法条》第五十七条）： - 迟延交付的赔偿限额为所迟延交付货物的运费数额。 - 若货物同时发生灭失或损坏，赔偿责任限额可能适用其他条款（需结合具体法条衔接条款判断）。 3. **索赔时效要求**（《法条》第一百三十四条）： - 收货人需在发现损失后提出异议，货物损失的异议最迟应在收到货物之日起14日内提出。 - 若未在规定期限内提出异议（除非承运人存在欺诈行为），可能影响索赔权利。 **结论**： - 若能证明承运人存在过失且迟延交付与物品损坏存在因果关系，且在14日内提出异议，则可主张索赔。 - 赔偿金额原则上以运费数额为限，但若同时涉及灭失或损坏，需进一步明确具体赔偿规则。 - 法条未明确承运人过失的举证责任，实践中可能需由主张方（收货人）提供初步证据证明承运人有过失。 建议留存相关证据（如快递单、损坏证明、沟通记录等），并及时通过法律途径主张权利。若争议较大，建议咨询专业律师。,一致性: 是  差异说明: 无差异
劳动合同没有签字有效吗？,无效。劳动合同需经用人单位与劳动者双方签字或盖章确认，否则不具备法律效力。,根据《劳动合同法》第十六条的规定，劳动合同的生效需满足以下条件： 1. **协商一致**：用人单位与劳动者就合同内容达成一致； 2. **签字或盖章**：双方需在劳动合同文本上签字或盖章。 **结论**：如果劳动合同未经过双方签字或盖章，则该合同不生效。根据法条规定，签字或盖章是劳动合同生效的必要形式要件。即使双方已实际履行劳动关系（如劳动者已工作、用人单位已支付报酬），但若未完成签字或盖章程序，合同本身仍不成立。 **例外情形**：若存在实际履行且双方对权利义务无争议，可能通过司法实践认定合同成立，但法条未明确此情形，需结合具体证据判断。建议咨询专业律师或劳动行政部门进一步确认。,一致性: 是  差异说明: 无差异
员工被辞退未提前通知怎么办？,用人单位应提前30日书面通知劳动者或额外支付一个月工资作为代通知金，否则劳动者可主张违法解除赔偿。,根据您提供的法条内容，关于员工被辞退未提前通知的问题，法律建议如下： 1. **区分辞退性质**： - 若属于《劳动合同法》第二十七条规定的“裁员”情形（如用人单位因破产整顿或经营困难需裁减人员），用人单位必须提前三十日向工会或全体职工说明情况并听取意见，未履行该程序的，员工可主张程序违法。 - 若不属于裁员情形（如因违纪、不能胜任工作等解除劳动合同），用人单位通常无需提前通知，但需依法履行书面通知义务（如说明辞退依据和理由，符合第九十条关于书面通知的要求）。 2. **法律依据不足的情况**： - 若用人单位未提前通知且不符合法定解除条件（如无合法理由直接辞退），员工可依据《劳动合同法》第三十八条、第四十八条主张违法解除劳动关系，并要求支付赔偿金。 - 若用人单位未提前通知但符合解除条件（如裁员但未履行程序），员工可主张程序违法，要求用人单位补正程序或承担相应责任。 3. **救济途径**： - 员工可收集相关证据（如辞退通知、沟通记录等），向劳动仲裁委员会申请仲裁，主张赔偿或恢复劳动关系。 **结论**：根据现有法条，若辞退未提前通知且程序违法，员工可通过劳动仲裁维护权益。但需结合具体辞退原因（如是否属于裁员或合法解除情形）进一步分析。建议咨询专业律师获取针对性法律意见。,一致性: 否 差异说明: 模型输出提供了更详细的法律分析和区分不同情况下的处理方式，而标准答案较为简略，仅指出用人单位应提前通知或支付代通知金，并未详细解释裁员和其他解除情形的区别。模型输出还提到了员工的救济途径及证据收集的重要性，这些内容在标准答案中没有提及。
网上买到假药怎么办？,立即停止使用并向食品药品监督管理局举报，同时保留证据如订单截图、聊天记录、药品实物等，必要时可向公安机关报案。,根据相关法律条款，您在网上购买到假药时，可采取以下法律途径维护权益： 1. **固定证据**：立即保存交易记录（订单号、支付凭证）、药品实物、与卖家的沟通记录（如聊天记录、宣传页面）等，确保证据完整。 2. **向药品监管部门举报**：根据《药品管理法》第十五条和第一百四十一条，生产、销售假药属于违法行为。您可向当地药品监督管理部门（如市场监管局）举报，提供相关证据。监管部门将依法查处涉事商家，并对假药进行鉴定。 3. **报警处理**：若假药已对您造成身体伤害或存在严重危害，可向公安机关报案。根据第一百四十一条，生产、销售假药若致人死亡或严重危害健康，最高可判处死刑。公安机关将追究涉事方的刑事责任。 4. **民事索赔**：若因假药遭受人身损害，可依据《消费者权益保护法》第四十九条（虽未在提供的法条中，但属相关法律）要求赔偿医疗费、误工费等损失。建议保留医疗记录及费用凭证，通过诉讼主张权利。 5. **避免自行处理药品**：切勿继续使用或随意丢弃假药，应联系药监部门或医疗机构妥善处理，避免二次危害。 **法律依据**： - 《药品管理法》第一百四十一条：明确生产、销售假药的刑事责任。 - 第十五条：禁止假药广告，可作为判断虚假宣传的依据。 若需进一步维权，建议咨询专业律师或通过法律援助途径获取帮助。,一致性: 是  差异说明: 无差异
小区电梯广告收入归谁所有？,归全体业主共有。物业公司只是代为管理，不得私自占有或挪用相关收益。,根据您提供的法条内容，现行法律文件中并未直接规定小区电梯广告收入的归属问题。您提供的法条主要涉及电梯制造单位、维护保养单位的行政责任（第八十条、第八十八条）以及建筑物维修资金的管理（第二百八十一条），但均未明确广告收益的权属。 根据《民法典》第二百七十一条、第二百八十二条等条款的通常解释，小区电梯属于业主共有部分，其产生的广告收益原则上应归属于全体业主共有。但这一结论需结合《民法典》相关规定综合判断，而您提供的法条中未包含直接依据。因此，建议您参考《民法典》物权编关于共有部分收益的规定，或咨询当地住建部门获取具体政策指导。,一致性: 否 差异说明: 标准答案直接指出小区电梯广告收入归全体业主共有，物业公司只能代为管理。而模型输出则解释了现行法律文件中没有明确规定的事实，并引用《民法典》相关条款推断出广告收益应归属于全体业主，但强调需要结合具体法律规定和政策指导来确定。
单位拖欠工资如何投诉？,可拨打12333全国人力资源和社会保障热线投诉，也可向当地劳动监察大队提交书面材料要求查处。,根据《劳动合同法》第九条、第八十五条及第九十一条的规定，单位拖欠工资的投诉流程及法律依据如下： ### 一、投诉途径 1. **向劳动行政部门投诉** 劳动者可向用工所在地的劳动监察大队（人力资源和社会保障局下属机构）投诉。根据《劳动合同法》第九条，劳动行政部门有义务依法处理拖欠工资的投诉。 2. **提交书面材料** 投诉时需提供以下材料： - 身份证明（身份证复印件） - 劳动关系证明（如劳动合同、工资条、考勤记录等） - 拖欠工资的具体金额及时间明细 - 其他相关证据（如沟通记录、证人证言等） ### 二、法律后果 1. **责令限期支付** 根据《劳动合同法》第八十五条，劳动行政部门将责令用人单位限期支付拖欠工资。若逾期未支付，行政部门可要求用人单位按应付金额的**50%-100%加付赔偿金**。 2. **经济补偿与赔偿金** 根据第九十一条，用人单位除支付拖欠工资外，还需支付经济补偿；若因拖欠工资导致劳动合同解除，用人单位还需支付赔偿金。 ### 三、后续措施 1. **申请劳动仲裁** 若劳动行政部门未有效处理，劳动者可向劳动争议仲裁委员会申请仲裁，要求用人单位支付工资及赔偿金。 2. **提起诉讼** 对仲裁结果不服的，可向人民法院提起诉讼。 ### 四、注意事项 - **保留证据**：妥善保存工资条、考勤记录、沟通记录等关键证据。 - **时效性**：劳动争议申请仲裁的时效期间为**1年**，自知道或应当知道权利被侵害之日起计算。 综上，建议您首先通过劳动监察大队投诉，若未果再通过仲裁或诉讼途径维权。具体操作可咨询当地劳动行政部门获取详细指引。,一致性: 否 差异说明: 模型输出提供了详细的投诉流程、法律后果及后续措施，而标准答案仅提供了一个简单的投诉途径。模型回答比标准答案更全面和具体。
房产继承需要什么手续？,需提供死亡证明、亲属关系证明、遗嘱（如有）、房产证等材料，前往公证处办理继承权公证或直接向不动产登记中心申请变更登记。,根据您提供的法条及问题，房产继承的手续可概括如下： 1. **确定继承方式**： - 根据《民法典》第1123条，继承开始后，优先按遗嘱继承办理；无遗嘱时按法定继承办理；存在遗赠扶养协议的，按协议办理。因此，需首先确认被继承人生前是否立有合法有效的遗嘱或遗赠扶养协议。 2. **办理继承权公证**： - 需向公证机构提交以下材料： - 被继承人死亡证明（如医院出具的死亡医学证明、户籍注销证明等）； - 继承人身份证明（身份证、户口簿等）； - 被继承人婚姻状况证明（如结婚证、离婚证等）； - 被继承人子女情况证明（如出生医学证明、收养证明等）； - 房产所有权证明（如不动产权证书、购房合同等）； - 若存在遗嘱，需提交遗嘱原件及公证机关对遗嘱效力的审查材料。 - 公证机构将依据《民法典》第311条（善意取得制度）及第31条（不动产法定继承适用不动产所在地法律）审核材料，确认继承人资格及房产归属。 3. **房产过户登记**： - 持继承公证书、死亡证明、房产证等材料，向不动产所在地的登记机构申请过户登记。 - 若房产涉及多个继承人，需共同签署过户申请或提交分割协议。 4. **特殊情况处理**： - 若房产已由无处分权人转让给善意第三人（符合《民法典》第311条善意取得条件），原继承人可能无法追回房产，但可向无处分权人索赔。 - 若继承人对继承份额存在争议，需通过诉讼解决，法院将依据法定继承规则或遗嘱内容作出判决。 **注意事项**： - 不动产继承需严格遵循不动产所在地法律（《民法典》第31条），若房产跨区域分布，需分别适用各不动产所在地的继承规则。 - 若被继承人生前户籍地与房产所在地法律冲突，应以房产所在地法律为准。 - 遗嘱需符合《民法典》第1134-1140条的形式要求（如自书遗嘱需本人签名、注明日期；公证遗嘱需公证机关盖章等），否则可能被认定无效。 以上流程基于现行法条规定，具体操作可能因地区政策或个案细节有所调整，建议咨询专业律师或公证机构。,一致性: 是 差异说明: 无差异
公司股东之间发生纠纷怎么办？,可通过协商、调解、仲裁或诉讼方式解决，涉及股权、出资、利润分配等问题的，可依据《公司法》等相关法律维权。,根据您提供的法条内容，结合股东纠纷的常见法律解决路径，建议如下： 1. **协商解决** 股东间应优先通过协商、调解等方式解决争议，避免矛盾激化。若达成一致，可通过股东会决议或书面协议明确权利义务。 2. **请求公司内部机构处理** - 若纠纷涉及董事、监事、高级管理人员侵害公司利益（如挪用资金、关联交易损害公司利益等），符合条件的股东（有限责任公司股东或股份公司持股1%以上且连续180日股东）可书面请求监事会（针对董事、高管）或董事会（针对监事）向法院提起诉讼（依据第一百八十九条）。 - 若纠纷涉及全资子公司权益受损，股东可书面请求子公司监事会/董事会起诉，或直接以自己名义起诉（依据第一条）。 3. **股东直接诉讼** 若监事会/董事会收到请求后30日内未行动，或情况紧急（如资产转移风险），股东可自行以公司名义起诉（第一百八十九条）。 4. **申请公司解散** 若股东间长期矛盾导致公司经营管理严重困难、无法通过其他途径解决，且持有公司10%以上表决权的股东可向法院申请解散公司（第二百三十一条）。 5. **其他救济措施** - 若公司未分配财产且股东希望存续，可通过修改章程或股东会决议（有限责任公司需2/3以上表决权通过，股份公司需出席会议股东2/3以上通过）调整治理结构（第三条）。 - 若纠纷涉及股权转让或知情权等具体权利，可依据《公司法》其他条款主张权利。 **注意事项**： - 法条未明确股东间直接冲突（如控制权争夺、分红纠纷）的解决规则，此类问题需结合《公司法》其他条款（如股权转让、表决权行使规则）或司法解释处理。 - 实践中建议聘请专业律师评估具体案情，因股东纠纷常涉及公司治理结构、证据固定等复杂问题。,一致性: 是 差异说明: 无差异
