question,expected_answer,model_output,note
什么是无证驾驶？,指驾驶人未取得机动车驾驶证、驾驶证被吊销或暂扣期间驾驶机动车的行为，属于违法行为。,根据您提供的法条内容，现行法律中并未直接对“无证驾驶”作出明确定义。但结合相关法条及道路交通安全法的通常解释，无证驾驶一般指以下情形： 1. 未取得机动车驾驶证驾驶机动车； 2. 驾驶证被吊销、暂扣期间驾驶机动车； 3. 使用伪造、变造的驾驶证驾驶机动车。 根据《道路交通安全法》第九十九条（虽未在您提供的法条中），无证驾驶将面临行政处罚。若发生交通事故且构成犯罪（如第一百三十三条之一的危险驾驶罪），可能承担刑事责任。 需注意：您提供的法条中第一百零一条虽涉及驾驶证吊销情形，但未直接定义无证驾驶。完整定义需参考《道路交通安全法》等其他法律条文。建议结合具体案情，咨询专业律师或查阅《道路交通安全法》第九十九条等条款以获取准确法律依据。,一致性: 是  差异说明: 无差异
合同中的不可抗力条款如何适用？,不可抗力是指不能预见、不能避免且不能克服的客观情况。因不可抗力导致合同无法履行的，部分或全部免除责任。,根据您提供的法条内容，关于合同中不可抗力条款的适用问题，目前无法直接通过您提供的法条（第五百三十三条、第五百一十条、第三十七条）得出完整结论，但结合《民法典》相关条款及法律原理，可提供以下分析： --- ### **一、不可抗力条款的法律依据** 根据《民法典》第五百九十条（未在您提供的法条中），不可抗力是指**不能预见、不能避免且不能克服的客观情况**（如自然灾害、战争、疫情等）。因不可抗力导致合同不能履行的，受不可抗力影响的一方可部分或全部免除责任，但需及时通知对方并提供证明。 --- ### **二、不可抗力条款的适用要点** 1. **适用条件** - **客观性**：事件须为非人为可控的客观情况（如地震、政府禁令）。 - **不可预见性**：合同订立时无法合理预见该事件发生。 - **履行障碍**：事件直接导致合同履行不能或部分不能。 2. **协商程序** - **通知义务**：受影响方应及时通知对方并提供证明（如政府通知、气象报告）。 - **协商变更**：若不可抗力导致合同履行困难，可参照《民法典》第五百三十三条（情势变更）与对方协商变更合同内容（如延期履行、调整价款）。 3. **法律救济** - 若协商不成，受影响方可请求法院或仲裁机构解除合同或免除责任（需证明不可抗力与履行不能的因果关系）。 --- ### **三、与情势变更原则的衔接** 您提供的《民法典》第五百三十三条（情势变更）虽与不可抗力不同，但可作为补充： - **情势变更**适用于合同成立后发生的重大变化（非商业风险），导致履行显失公平的情形。 - 若不可抗力导致合同履行显失公平，可尝试援引情势变更原则协商变更合同。 --- ### **四、建议** 1. **明确合同约定**：建议在合同中细化不可抗力条款（如具体情形、通知时限、证明要求）。 2. **及时履行义务**：发生不可抗力时，应立即通知对方并保留证据。 3. **优先协商解决**：通过补充协议或交易习惯调整合同履行方式（参考第五百一十条）。 4. **法律咨询**：若争议无法解决，需结合《民法典》第五百九十条及司法解释主张权利。 --- ### **结论** 您提供的法条未直接涉及不可抗力条款，但结合《民法典》第五百九十条及情势变更原则，不可抗力的适用需满足客观性、不可预见性及履行障碍，并通过协商或法律程序解决争议。建议完整查阅《民法典》第五百九十条以获取准确依据。,一致性: 是 差异说明: 无差异
股东出资不到位如何处理？,其他股东或发起人应对公司债务承担连带责任，公司可起诉要求出资人补足出资。,"根据您提供的法条内容，股东出资不到位的处理方式可总结如下： ### 一、股东的直接责任（《法条第四十九条》） 1. **补缴出资义务** 股东需在限期内足额缴纳公司章程规定的出资额： - 货币出资：需足额存入公司银行账户； - 非货币财产出资：需完成财产权转移手续。 2. **赔偿责任** 若未按期足额出资，股东需对公司因此遭受的损失承担赔偿责任（如资金短缺导致的经营损失）。 --- ### 二、其他股东的连带责任（《法条第五十条、第九十九条》） 1. **有限责任公司设立时的连带责任** - 若股东在公司设立时未实际缴纳出资，或非货币财产实际价额显著低于认缴额，**设立时的其他股东**需在出资不足的范围内承担连带责任。 2. **股份有限公司发起人的连带责任** - 若发起人未缴纳股款或非货币财产实际价额显著低于认购股份，**其他发起人**需在出资不足的范围内承担连带责任。 --- ### 三、具体处理步骤建议 1. **催缴程序** - 公司可通过书面通知、股东会决议等方式要求未出资股东限期补缴。 2. **诉讼救济** - 若股东拒不履行，公司可依据《法条第四十九条》向法院起诉，要求股东补缴出资并赔偿损失。 3. **追究连带责任** - 若涉及公司设立时的出资问题，可依据《法条第五十条》或《第九十九条》要求设立时的其他股东或发起人承担连带责任。 4. **非货币财产出资的处理** - 对非货币财产出资不足的，需委托专业机构评估实际价值，要求股东补足差额或以货币形式补缴。 --- ### 四、法条限制说明 1. **不涉及股权转让后的责任** 现有法条未明确股东转让股权后出资责任的承担问题，需结合其他法律（如《公司法司法解释三》）进一步分析。 2. **""显著低于""的认定标准** 需通过专业评估确定非货币财产实际价额是否显著低于认缴额，司法实践中可能需举证证明实际损失。 综上，建议公司结合具体情况采取催缴、诉讼或追究连带责任等措施，并注意保留出资瑕疵的证据（如评估报告、催缴记录等）。若涉及复杂情形（如股权转让、公司解散等），建议进一步咨询专业律师。",一致性: 否 差异说明: 模型输出提供了详细的处理方式和步骤，包括催缴程序、诉讼救济以及追究连带责任等具体措施，并且还涉及到了非货币财产出资的处理。而标准答案则较为简略，仅提到其他股东或发起人应对公司债务承担连带责任，公司可起诉要求出资人补足出资。模型输出的信息更加全面和详细。
网络诈骗如何报案？,可拨打110或前往就近公安机关报案，并提供相关聊天记录、转账凭证、对方账号等证据材料。,根据中国法律，网络诈骗的报案流程如下： ### 一、报案主体 1. **被害人**：遭受网络诈骗的个人或单位。 2. **利害关系人**：若被害人无法自行报案（如未成年人、精神障碍者），可由法定代理人或监护人代为报案。 ### 二、报案机关 1. **公安机关**：网络诈骗属于刑事案件，应向当地公安机关（派出所或刑警队）报案。涉及跨区域作案的，可向**网安部门**或**反诈中心**报案。 2. **紧急情况**：若诈骗正在发生且金额巨大，可拨打**110**紧急报警。 ### 三、报案材料 需准备以下证据（根据《刑事诉讼法》第50条）： 1. **身份证明**：被害人身份证复印件。 2. **交易记录**：银行流水、支付宝/微信转账记录、合同等。 3. **通讯记录**：诈骗短信、电话录音、聊天记录（如QQ、微信、邮件）。 4. **涉案信息**：诈骗网站链接、APP截图、对方账号信息（如支付宝账号、银行账户）。 5. **损失证明**：转账凭证、汇款单据、损失金额说明。 ### 四、报案流程 1. **现场报案**：携带上述材料至公安机关，填写《受案登记表》。 2. **网络报案**：通过**国家反诈中心APP**、各地公安官网或“12110”短信报警平台提交材料。 3. **立案审查**：公安机关将在7日内决定是否立案（《刑事诉讼法》第112条）。 4. **配合调查**：提供证人证言、接受询问，必要时协助冻结涉案账户。 ### 五、法律后果（结合法条） 1. **刑事责任**：根据《刑法》第266条（诈骗罪），涉案金额较大（一般5000元以上）可处3年以上有期徒刑；数额特别巨大（50万元以上）可处10年以上有期徒刑或无期徒刑。 2. **关联犯罪**：若涉案人员涉及《刑法》第287条之二（帮助信息网络犯罪活动罪），可能追究技术支持、支付结算等共犯责任。 3. **民事追偿**：若公安机关未全额追赃，可向法院提起民事诉讼要求赔偿。 ### 六、特别提示 1. **及时报案**：避免证据灭失（《刑法》第286条之一规定，网络服务提供者拒不履行安全管理义务导致证据灭失的，可能构成犯罪）。 2. **防范二次诈骗**：警惕“公检法”以办案名义要求转账的二次诈骗。 3. **跨区域协作**：涉及多地作案的，由最初受理的公安机关立案，必要时由上级公安机关指定管辖。 **法律依据**：《刑事诉讼法》第110-112条、《刑法》第266条、第287条之二。若需进一步法律咨询，建议联系专业刑事律师。,一致性: 是 差异说明: 无差异
离婚冷静期是什么？,根据《民法典》规定，协议离婚需经过30天的冷静期，冷静期届满后30日内双方应再次申请办理离婚登记，逾期视为撤回。,根据《中华人民共和国民法典》第一千零七十七条的规定，**离婚冷静期**是指夫妻双方在婚姻登记机关提交离婚登记申请后，需经历的法定冷静观察期。具体规则如下： 1. **冷静期时长**： - 自婚姻登记机关收到离婚登记申请之日起**30日内**，任何一方均可单方向登记机关撤回离婚申请。 - 若双方未在上述30日内撤回申请，则需在届满后**30日内**（即自申请日起最长60日内）亲自到婚姻登记机关申请离婚证。 - 若双方未在第二个30日内申请离婚证，则视为自动撤回离婚登记申请。 2. **法律目的**： 离婚冷静期的设立旨在防止冲动离婚，给予夫妻双方冷静思考和修复关系的机会。若在此期间双方和解，可主动撤回申请；若坚持离婚，则需在规定期限内完成手续。 3. **适用范围**： 该冷静期仅适用于**协议离婚**（即双方自愿离婚并达成一致的情形），不适用于通过诉讼途径离婚的情形。 **总结**：离婚冷静期是法律为维护婚姻稳定性设置的缓冲机制，通过时间限制促使当事人审慎对待离婚决定。若双方确已无和解可能，需严格遵守时限要求，否则需重新启动离婚程序。,一致性: 是  差异说明: 无差异
公司能否单方面调岗降薪？,未经劳动者同意，公司无权单方面调岗降薪，否则属于违法行为，劳动者可申请劳动仲裁维权。,根据《劳动合同法》相关规定，用人单位单方面调岗降薪需符合以下条件，否则可能构成违法： ### 一、一般原则：需协商一致 根据《劳动合同法》第十七条，调岗降薪属于劳动合同内容的变更。根据第三十五条，变更劳动合同需双方协商一致。用人单位单方面调整岗位或降低薪资，原则上需与劳动者协商并签订书面协议。 ### 二、例外情形（无需协商） 1. **法定情形允许调整** - **第四十条第三项**：若劳动合同订立时的客观情况发生重大变化（如企业转产、技术革新等），导致原合同无法履行，用人单位可与劳动者协商变更岗位或薪资。若协商不成，用人单位可解除劳动合同并支付经济补偿，但**不得单方面强制调岗降薪**。 - **第四十一条经济性裁员**：在企业重整、经营困难等法定情形下，用人单位可依法裁减人员，但调岗降薪不属于裁员范畴，仍需协商。 2. **劳动合同约定** 若劳动合同中明确约定用人单位有权根据经营需要单方调整岗位或薪资，则用人单位可依约定操作，但需确保约定内容合法、明确且不显失公平。 ### 三、违法后果 若用人单位未经协商单方面调岗降薪，劳动者可主张： 1. 恢复原岗位及薪资； 2. 要求支付差额工资； 3. 若用人单位违法解除劳动合同，可主张双倍经济补偿金（第八十七条）。 ### 结论 **用人单位原则上不能单方面调岗降薪**，除非： 1. 劳动合同明确约定单方调整权； 2. 存在第四十条第三项情形且已协商未果（此时可解除合同，但需支付补偿）。 建议用人单位在调整岗位或薪资前，与劳动者充分协商并签订书面协议，避免劳动争议。,一致性: 是  差异说明: 无差异
婚前财产婚后如何认定？,婚前财产属于个人财产，不会因为婚姻关系的延续转化为夫妻共同财产，除非双方另有约定。,"根据《民法典》相关规定，婚前财产婚后认定规则如下： **一、婚前财产的基本认定** 根据《民法典》第1063条，婚前财产属于夫妻个人财产，不因婚姻关系存续转化为共同财产。具体包括： 1. 婚姻登记前个人已取得的财产（如房产、存款、股权等）； 2. 婚前财产在婚后产生的自然增值（如房产因市场波动升值）。 **二、婚后财产的认定原则** 根据《民法典》第1062条，婚姻关系存续期间所得的下列财产为夫妻共同财产： 1. 工资、奖金、劳务报酬； 2. 生产、经营、投资收益； 3. 知识产权收益； 4. 继承或受赠的财产（但遗嘱或赠与合同明确归一方的除外）。 **三、特殊情形下的财产认定** 1. **婚前财产的婚后收益**：若婚前财产在婚后通过主动管理产生收益（如将婚前存款用于投资股票获得收益），该收益可能被认定为共同财产（需结合个案证据判断）。 2. **约定财产制**：根据第1065条，夫妻可书面约定婚前及婚后财产归属。若约定为""各自所有""，则按约定处理，但需注意该约定对第三人的效力（相对人是否知晓）。 **法律建议**： 1. 建议通过书面婚前协议明确财产归属，避免争议； 2. 若涉及财产分割纠纷，需结合财产来源、管理行为、书面约定等因素综合判断； 3. 对于婚前财产婚后收益的性质认定，可能需进一步结合司法解释或个案证据。 （注：关于婚前财产婚后收益的具体认定规则，需结合《最高人民法院关于适用〈民法典〉婚姻家庭编的解释（一）》第26条等司法解释进一步分析。）",一致性: 是  差异说明: 无差异
什么是先予执行？,是指在终审判决作出前，法院根据当事人的申请，裁定义务人预先给付一定财物或暂停某些行为。,根据您提供的法条内容，目前无法直接找到关于“先予执行”的明确规定。您提供的法条主要涉及《中华人民共和国民法典》第一千零二十六条（关于行为人注意义务的认定）及《中华人民共和国行政强制法》第五十一条（关于第三人代履行的规定），二者均未直接涉及“先予执行”的定义或程序。 **关于“先予执行”的法律定义**： 根据《中华人民共和国民事诉讼法》第一百零四条，先予执行是指在民事诉讼过程中，人民法院根据当事人申请，裁定对方当事人预先履行部分义务的临时性救济措施。其适用条件包括： 1. 当事人之间权利义务关系明确； 2. 不先予执行将严重影响申请人的生活或生产经营； 3. 被申请人有履行能力。 常见情形包括追索赡养费、抚养费、医疗费用等紧急情况。 **结论**： 您提供的法条未涵盖先予执行的相关规定。若需准确理解先予执行的法律适用，建议参考《民事诉讼法》第一百零四条及司法解释。如需进一步分析具体案件的法律适用，建议结合案情与完整法律体系综合判断。,一致性: 否 差异说明: 标准答案仅定义了先予执行的概念，而模型输出不仅提供了更详细的法律依据和适用条件，还指出了具体法条位置，并且解释了适用情形。标准答案较为简略，没有涉及具体的适用条件或案例类型。
什么是代位继承？,被继承人的子女先于被继承人死亡的，由被继承人子女的直系晚辈血亲代位继承。,根据您提供的法条内容，结合《中华人民共和国民法典》的相关规定，**代位继承**的定义及法律依据如下： ### 一、代位继承的定义 代位继承是指被继承人的子女（包括婚生子女、非婚生子女、养子女和有扶养关系的继子女）先于被继承人死亡时，该子女的晚辈直系血亲（如孙子女、外孙子女等）有权代替其父母的继承顺序，继承被继承人遗产的制度。 ### 二、法律依据（基于您提供的法条） 1. **《民法典》第一千一百二十七条**（遗产继承顺序）： 该条款虽未直接提及“代位继承”，但代位继承属于法定继承的范畴。根据继承顺序，若第一顺序继承人（如子女）先于被继承人死亡，则其晚辈直系血亲可通过代位继承参与遗产分配。 2. **《民法典》第一千一百五十五条**（胎儿继承份额）： 该条款规定胎儿娩出时为活体的，保留的份额由其继承；若为死体，则按法定继承处理。此条款间接体现了对继承人晚辈权益的保护，与代位继承制度的公平性原则一致。 3. **《民法典》第一千一百三十三条**（遗嘱继承）： 该条款主要涉及遗嘱继承，与代位继承无直接关联，但需注意代位继承优先于遗嘱继承适用，除非遗嘱明确排除代位继承人。 ### 三、法条局限性说明 您提供的法条中未直接包含《民法典》第一千一百二十八条，该条款是代位继承的核心依据，其内容为：“被继承人的子女先于被继承人死亡的，由被继承人的子女的直系晚辈血亲代位继承。”由于法条不完整，建议参考完整版《民法典》以全面理解代位继承的适用条件和范围。 ### 四、结论 代位继承是法定继承的重要补充制度，旨在保障晚辈直系血亲的继承权益。根据您提供的法条，虽未直接引用核心条款，但结合继承顺序及胎儿权益保护原则，可推导出代位继承的基本逻辑。若需完整法律依据，请参考《民法典》第一千一百二十八条。,一致性: 是 差异说明: 无差异
什么是留置权？,债权人按照合同约定占有债务人的动产，债务人不按合同给付应付款项超过约定期限的，债权人有权留置该动产，并优先受偿。,根据中国《民法典》相关规定，**留置权**是指债权人依法占有债务人的动产，在债务人不履行到期债务时，债权人有权以该动产折价或者以拍卖、变卖该动产的价款优先受偿的权利。其核心特征包括： 1. **法定性**：留置权由法律直接规定，无需当事人特别约定； 2. **从属性**：留置权从属于债权，债权消灭时留置权亦消灭； 3. **不可分性**：债权人可就全部债权对留置财产行使权利。 结合您提供的法条： - **第八十八条**（承运人留置权）：承运人对托运的货物享有留置权，以担保运费的支付。例如，若托运人未支付运费，承运人可依法留置货物。 - **第四十一条**（受托人留置权）：受托人对委托事务产生的财产享有留置权，以担保处理委托事务的费用及报酬。 **行使条件**： 1. 债权人合法占有债务人的动产； 2. 债务已到期且债务人未履行债务； 3. 留置的财产与债权属于同一法律关系（运输合同、委托合同等）； 4. 债权人需履行通知债务人履行债务的义务，并给予合理期限。 **法律依据不足说明**：您提供的法条内容不完整（如第六十五条未明确具体内容），但基于第八十八条和第四十一条，可推断留置权在运输合同、委托合同中的适用规则。若需全面理解，建议参考《民法典》第四百四十七条至第四百五十七条关于留置权的完整规定。,一致性: 是 差异说明: 无差异
